TransactionDate,GroupCostPrice,GroupQuantity
07/17/19,113115.5,52.48
07/18/19,117338.3,54.55
07/19/19,0,0
07/20/19,212367.2,98.92
07/21/19,225797.2,105.6
07/22/19,91456.37,42.6
07/23/19,133496.1,62.14
07/24/19,170478.9,79.4
07/25/19,115958.2,53.99
07/26/19,0,0
07/27/19,164263.3,76.5
07/28/19,129235.5,60.19
07/29/19,118669.5,55.27
07/30/19,132807,61.84
07/31/19,124459.8,57.98
08/01/19,154443.6,71.9
08/02/19,0,0
08/03/19,101918.4,47.46
08/04/19,132518.7,61.68
08/05/19,126717.3,58.97
08/06/19,144424,67.34
08/07/19,96494.79,45.02
08/08/19,114879.8,53.62
08/09/19,0,0
08/10/19,0,0
08/11/19,0,0
08/12/19,0,0
08/13/19,0,0
08/14/19,0,0
08/15/19,178143,83.02
08/16/19,0,0
08/17/19,153215.5,71.51
08/18/19,128885.6,60.1
08/19/19,121704.6,57.05
08/20/19,165629.8,77.94
08/21/19,121894.7,57.42
08/22/19,79796.22,37.66
08/23/19,0,0
08/24/19,113980.6,54.02
08/25/19,118436,56.11
08/26/19,63002.6,29.88
08/27/19,82625.55,39.22
08/28/19,79289.82,37.61
08/29/19,176940.1,84.07
08/30/19,0,0
08/31/19,68962.18,32.69
09/01/19,105611.3,50.05
09/02/19,95027.14,45.06
09/03/19,226937.1,108
09/04/19,108928,51.64
09/05/19,100777.9,47.84
09/06/19,0,0
09/07/19,0,0
09/08/19,111376.3,52.84
09/09/19,202499,96.54
09/10/19,115514.9,55
09/11/19,119977.5,57.35
09/12/19,151960.5,73.28
09/13/19,0,0
09/14/19,127553.4,60.96
09/15/19,125980.5,60.47
09/16/19,136748.6,65.5
09/17/19,145573.2,69.84
09/18/19,89813.38,43.25
09/19/19,108269.1,52.31
09/20/19,0,0
09/21/19,109741.2,52.92
09/22/19,90854.23,43.82
09/23/19,0,0
09/24/19,156620.9,75.74
09/25/19,160883.4,78.73
09/26/19,131120.2,63.54
09/27/19,0,0
09/28/19,99476.38,48.59
09/29/19,71400.75,35.01
09/30/19,94992.41,46.39
10/01/19,144523.9,71.2
10/02/19,123432.6,60.74
10/03/19,107354.6,52.8
10/04/19,0,0
10/05/19,109007.4,54.44
10/06/19,150305.2,75.2
10/07/19,93048.96,46.38
10/08/19,78997.75,39.62
10/09/19,128271.2,64.39
10/10/19,98927.68,49.64
10/11/19,0,0
10/12/19,151659.3,75.96
10/13/19,155230,77.94
10/14/19,121023.5,60.6
10/15/19,133647.5,66.91
10/16/19,182062.4,91.16
10/17/19,121860,61.19
10/18/19,0,0
10/19/19,149025.1,74.91
10/20/19,120923.9,60.8
10/21/19,106782.5,53.67
10/22/19,117133.4,58.73
10/23/19,138078.5,69.27
10/24/19,102780.8,51.45
10/25/19,0,0
10/26/19,178711.5,89.39
10/27/19,118541.9,59.24
10/28/19,118910.5,59.38
10/29/19,139373.9,69.65
10/30/19,84523.95,42.21
10/31/19,62323.48,31.24
11/01/19,0,0
11/02/19,148076.6,74.03
11/03/19,138767.6,69.9
11/04/19,143033.3,73.57
11/05/19,131948,68.27
11/06/19,138344.3,71.57
11/07/19,132847.9,68.77
11/08/19,0,0
11/09/19,121180.3,62.98
11/10/19,153441.8,79.85
11/11/19,102922.1,53.68
11/12/19,83988.1,43.91
11/13/19,97703.4,51.09
11/14/19,81156.69,42.49
11/15/19,0,0
11/16/19,103514.8,54.13
11/17/19,87320.6,45.7
11/18/19,59496.48,31.14
11/19/19,35963.8,18.78
11/20/19,113865,59.55
11/21/19,108928.9,56.89
11/22/19,0,0
11/23/19,181074.8,93.31
11/24/19,129105.3,66.91
11/25/19,82997.99,42.66
11/26/19,129908.2,66.02
11/27/19,91550.39,46.37
11/28/19,63451.48,32.11
11/29/19,0,0
11/30/19,199705.5,100.3
12/01/19,89894.38,44.8
12/02/19,121261.4,60.47
12/03/19,81494.38,40.71
12/04/19,120735.7,59.53
12/05/19,99328.7,49.29
12/06/19,0,0
12/07/19,151906.2,74.47
